DOCTOR_ID,DOCTOR_NAME,DEPARTMENT,,,
D001,Dr. Amit Sharma,Cardiology,,,
D002,Dr. Neha Verma,Neurology,,,
D003,Dr. Rajesh Kumar,Orthopedics,,,
D004,Dr. Priya Singh,General Medicine,,,
D005,Dr. Ankit Jain,Pulmonology,,,
D006,Dr. Sunita Reddy,Infectious Disease,,,
D007,Dr. Karan Mehta,Dermatology,,,
D008,Dr. Pooja Kapoor,Neurology,,,
D009,Dr. Vikram Joshi,Orthopedics,,,
D010,Dr. Sneha Iyer,General Medicine,,,
D011,Dr. Arjun Nair,Cardiology,,,
D012,Dr. Kavita Rao,Pediatrics,,,
D002,Dr. Neha Verma,Cardiology,,,
,,,,,
